"year","live births"
1997,143967
1996,147890
1995,150848
1994,156431
1993,159666
1992,163523
1991,167726
1990,171053
1989,168108
1988,165169
1987,162348
1986,160336
1985,160001
1984,156799
1983,157810
1982,161561
1981,160179
1980,158670
1979,157533
1978,151438
1977,153415
1976,148004
1975,148942
1974,151458
1973,153272
1972,163110
1971,180939
1970,192154
1969,185046
1968,185729
1967,188706
1966,195869
1965,204105
1964,218515
1963,221537
1962,226393
1961,240172
1960,241099
1959,246615
1958,249810
1957,254997
1956,248019
1955,242591
1954,245521
1953,239206
1952,239964
1951,235074
1950,221635
1949,224581
1948,227227
1947,248513
1946,218376
1945,173799
1944,178370
1943,199366
1942,197177
1941,174193
1940,165456
1939,160774
1938,165708
1937,161133
1936,159393
1935,161166
1934,160238
1933,157046
1932,168534
1931,178714
1930,189458
1929,189524
1928,200769
1927,210001
1926,207696
1925,215120
1924,223103
1923,217235
1922,214348
1921,229452
1920,220462
1919,207685
1918,220170
1917,222505
1916,217449
1915,217979